station_cd,e_status
1110112,2
1110113,2
1110114,2
1110115,2
1110116,2
1110124,2
1110125,2
1110126,2
1110132,2
1110135,2
1110137,2
1110203,2
1110340,2
1110602,2
1110609,2
1110611,2
1110612,2
1110613,2
1110614,2
1110615,2
1110616,2
1110617,2
1110618,2
1110703,2
1110711,2
1110719,2
1110721,2
1110722,2
1110724,2
1110809,2
1110814,2
1110819,2
1110820,2
1110904,2
1111003,2
1111005,2
1111006,2
1111008,2
1111009,2
1111010,2
1111011,2
1111012,2
1111104,2
1111106,2
1111107,2
1111108,2
1111109,2
1111110,2
1111111,2
1111112,2
1111113,2
1111114,2
1111115,2
1111116,2
1111117,2
1111118,2
1111119,2
1111120,2
1111121,2
1111122,2
1111123,2
1111124,2
1111125,2
1111126,2
1111127,2
1111128,2
1111129,2
1111130,2
1111215,2
1111216,2
1111217,2
1111218,2
1111219,2
1111220,2
1111221,2
1111222,2
1111223,2
1111224,2
1111225,2
1111226,2
1111227,2
1111228,2
1111229,2
1111230,2
1111306,2
1111307,2
1111308,2
1111309,2
1111310,2
1111311,2
1111312,2
1111313,2
1111314,2
1111315,2
1111316,2
1111317,2
1111318,2
1111319,2
1111320,2
1111321,2
1111506,2
1111508,2
1111512,2
1111514,2
1111516,2
1111523,2
1111526,2
1111528,2
1111529,2
1111530,2
1111531,2
1111538,2
1111541,2
1111542,2
1111543,2
1111544,2
1111548,2
1111551,2
1111606,2
1111609,2
1111613,2
1111615,2
1111617,2
1111619,2
1111620,2
1111625,2
1111627,2
1111711,2
1111718,2
1111721,2
1111803,2
1111804,2
1111805,2
1111901,2
1111902,2
1111903,2
1111904,2
1111905,2
1111906,2
1111907,2
1111908,2
1111909,2
1120101,2
1120608,2
1120701,2
1120702,2
1120703,2
1120704,2
1120705,2
1120706,2
1120707,2
1120708,2
1120709,2
1120815,2
1120816,2
1120817,2
1120818,2
1120819,2
1120820,2
1120821,2
1120822,2
1120823,2
1120824,2
1120825,2
1121014,2
1121016,2
1121305,2
1121306,2
1121309,2
1121319,2
1121320,2
1121321,2
1121322,2
1121323,2
1121324,2
1121325,2
1121326,2
1121327,2
1121328,2
1121329,2
1121330,2
1121604,2
1121711,2
1121713,2
1122407,2
1122408,2
1122409,2
1122410,2
1122411,2
1122412,2
1122413,2
1122414,2
1122415,2
1122416,2
1122417,2
1122418,2
1122419,2
1122420,2
1122421,2
1122422,2
1122423,2
1122729,2
1122731,2
1132120,2
1132121,2
1132122,2
1132123,2
1132804,2
1132805,2
1132815,2
1132816,2
1132817,2
1132818,2
1132819,2
1132820,2
1140926,2
1142001,2
1142002,2
1151210,2
1161605,2
1162901,2
1170239,2
1170701,2
1170702,2
1170703,2
1170704,2
1170705,2
1170706,2
1170707,2
1170708,2
1170709,2
1170710,2
1170711,2
1170712,2
1170713,2
1170714,2
1170715,2
1170716,2
1170717,2
1170718,2
1170719,2
1170720,2
1170721,2
1170722,2
1170723,2
1170724,2
1170725,2
1170726,2
1170727,2
1170728,2
1170729,2
1170730,2
1170731,2
1170732,2
1170733,2
1170734,2
1170735,2
1191419,2
1191420,2
1191421,2
1191422,2
1191423,2
1191424,2
1191425,2
1191426,2
1191427,2
1191428,2
1191429,2
3000312,2
3000314,2
3000909,2
3000919,2
3001402,2
3001901,2
3001902,2
3001903,2
3100104,2
3100105,2
3100106,2
3100401,2
3100402,2
3100403,2
3100404,2
3100405,2
3100406,2
3100407,2
3100408,2
3100409,2
3100410,2
3100411,2
3100412,2
3100413,2
3100414,2
3100415,2
3100416,2
3100417,2
3100418,2
3100419,2
3100420,2
3100421,2
3100422,2
3100423,2
3100424,2
3100425,2
3100426,2
3100427,2
3100601,2
3100602,2
3100603,2
3100604,2
3100605,2
3100606,2
3100607,2
3100608,2
3100609,2
3100610,2
3100611,2
3100612,2
3100613,2
3100614,2
3600411,2
3600412,2
3600413,2
3600414,2
3600415,2
3600416,2
9910701,2
9910702,2
9910703,2
9910704,2
9910705,2
9910706,2
9910707,2
9910708,2
9910709,2
9910710,2
9910711,2
9910712,2
9910713,2
9910714,2
9910715,2
9910716,2
9910717,2
9910718,2
9910719,2
9910720,2
9910721,2
9910722,2
9910723,2
9910724,2
9910725,2
9910726,2
9910727,2
9910728,2
9910729,2
9910730,2
9910731,2
9910732,2
9910733,2
9920401,2
9920402,2
9920403,2
9920404,2
9920405,2
9920406,2
9920407,2
9920408,2
9920409,2
9920410,2
9920411,2
9921201,2
9921202,2
9921203,2
9921204,2
9921205,2
9921206,2
9921207,2
9921208,2
9921209,2
9921210,2
9921211,2
9921212,2
9921213,2
9921214,2
9921215,2
9921216,2
9932201,2
9932202,2
9932203,2
9932204,2
9932205,2
9932206,2
9932207,2
9932208,2
9932209,2
9932210,2
9932211,2
9932212,2
9932213,2
9932214,2
9932215,2
9932216,2
9932217,2
9940601,2
9940602,2
9940603,2
9940604,2
9940605,2
9940606,2
9940607,2
9940608,2
9940609,2
9940610,2
9940611,2
9940612,2
9940613,2
9941101,2
9941102,2
9941103,2
9941104,2
9941105,2
9941106,2
9941107,2
9941108,2
9941617,2
9941618,2
9951901,2
9951902,2
9951903,2
9951904,2
9951905,2
9951906,2
9951907,2
9952201,2
9952202,2
9962811,2
9963205,2
9963216,2
9964201,2
9964202,2
9964203,2
9964204,2
9964205,2
9964206,2
9964207,2
9964208,2
9964209,2
9970801,2
9970802,2
9970803,2
9971002,2
9971102,2
9971201,2
9971202,2
9971203,2
9971204,2
9971205,2
9971206,2
9971207,2
9971208,2
9971209,2
9971210,2
9971211,2
9971302,2
9971402,2
9991225,2
9991226,2
9991227,2
9991228,2
9991229,2
9991230,2
9991231,2
9991232,2
9991233,2
9991234,2
9991235,2
9991236,2
9991237,2
9991238,2
9991239,2
9991240,2
9991241,2
9991242,2
9991243,2
9991244,2
