company_id,rr_id,company_name_jp,company_name_en,company_url
1,11,JRï¿½ï¿½ï¿½,JR Hokkaido,http://www.jrhokkaido.co.jp/
2,11,JRï¿½ï¿½ï¿½,JR East,http://www.jreast.co.jp/
3,11,JRï¿½ï¿½,JR Central,http://jr-central.co.jp/
4,11,JRï¿½ï¿½ï¿½,JR West,http://www.westjr.co.jp/
5,11,JRï¿½ï¿½,JR Shikoku,http://www.jr-shikoku.co.jp/
6,11,JRï¿½ï¿½,JR Kyushu,http://www.jrkyushu.co.jp/
11,21,ýýýýýýýýýýýý,Tobu Railway,http://www.tobu.co.jp/
12,22,ýýýýýýýýýýýý,Seibu Railway,http://www.seibu-group.co.jp/railways/
13,23,ýýýýýýýýýýýý,Keisei Electric Railway,http://www.keisei.co.jp/
14,24,ýýýýýýýýýýýý,Keio Corporation,http://www.keio.co.jp/
15,25,ýýýýýýýýýýýýýýý,Odakyu Electric Railway,http://www.odakyu.jp/
16,26,ýýýýýýýýýýýý,Tokyu Railways,http://www.tokyu.co.jp/
17,27,ýýýýýýýýýýýý,Keikyu Corporation,http://www.keikyu.co.jp/
18,28,ýýýýýýýýýýýýýýý,Tokyo Metro,http://www.tokyometro.jp/
19,29,ýýýýýýýýýýýý,Sagami Railway,http://www.sotetsu.co.jp/
20,30,ýýýýýýýýýýýýýýý,Nagoya Railroad,http://www.meitetsu.co.jp/
21,31,ýýýýýýýýýýýýýýýýýý,Kintetsu Railway,http://www.kintetsu.co.jp/
22,32,ýýýýýýýýýýýý,Nankai Electric Railway,http://www.nankai.co.jp/
23,33,ýýýýýýýýýýýý,Keihan Electric Railway,http://www.keihan.co.jp/
24,34,ýýýýýýýýýýýý,Hankyu Railway,http://rail.hankyu.co.jp/
25,35,ýýýýýýýýýýýý,Hanshin Electric Railway,http://rail.hanshin.co.jp/
26,36,ýýýýýýýýýýýýýýý,Nishi-Nippon Railroad,http://www.nishitetsu.co.jp/
101,99,ýýýýýýýýýýýýýýýýýý,Sapporo City Transportation Bureau,http://www.city.sapporo.jp/st/
252,99,ýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýý,Sapporo City Transportation Business Promotion Corporation,https://www.stsp.or.jp/
102,99,ýýýýýýýýýýýýýýýýýý,Hakodate City Transportation Bureau,http://www.city.hakodate.hokkaido.jp/transport/
103,99,ýýýýýýýýýýýýýýýýýýýýýýýýýýýýýý,Hokkaido Chihoku Kogen Railway,
248,99,ýýýýýýýýýýýýýýýýýýýýýýýý,South Hokkaido Railway,http://www.shr-isaribi.jp
104,99,ýýýýýýýýýýýý,Tsugaru Railway,http://tsutetsu.com/
105,99,ýýýýýýýýýýýý,Konan Railway,http://konantetsudo.jp/
