line_id,company_id,name_jp,line_color_c,type,lon,lat,zoom,status
1001,3,中央新幹線,,,137.4938965,35.41143805,8,1
1002,3,東海道新幹線,0000FF,,137.7214887,35.14412194,7,0
1003,4,山陽新幹線,0000FF,,133.1478961,34.4193377,7,0
1004,2,東北新幹線,008000,,140.7631922,38.27426694,7,0
1005,2,上越新幹線,008000,,139.121488,36.79856473,8,0
1006,2,上越新幹線(ガーラ湯沢支線),008000,,138.8032504,36.94288211,14,0
1007,2,山形新幹線,FFA030,,140.1684778,37.58820881,8,0
1008,2,秋田新幹線,FF0080,,140.3622538,37.75728895,7,0
1009,2,北陸新幹線,008000,,138.0356977,36.18598137,7,0
1010,6,九州新幹線,FF0000,,130.5768238,32.79428002,8,0
1011,1,北海道新幹線,6E5CA5,,140.6442261,42.09414637,7,0
1012,6,西九州新幹線,E10017,,130.0229,33.196289,9,0
11101,1,JR函館本線(函館～長万部),0072BC,,140.4833697,42.23981411,9,0
11102,1,JR函館本線(長万部～小樽),ED1C23,,140.6428878,42.91991023,9,0
11103,1,JR函館本線(小樽～旭川),F7931D,,141.6979108,43.4150974,9,0
11104,1,JR室蘭本線(長万部・室蘭～苫小牧),0072BC,,141.0063937,42.57071674,9,0
11105,1,JR室蘭本線(苫小牧～岩見沢),808080,,141.7444991,42.93841714,10,0
11106,1,JR根室本線(滝川～富良野),F6989D,,142.15,43.5,10,0
11107,1,JR根室本線(新得～釧路),8CC63E,,143.5647441,42.9656747,9,0
11108,1,花咲線,808080,,145.0642882,43.12755462,9,0
11109,1,JR千歳線,00B2EB,,141.5675688,42.88585087,10,0
11110,1,JR石勝線,8CC63E,,142.1208103,42.97760967,9,0
11111,1,JR日高本線,808080,,142.1892282,42.43948998,9,0
11112,1,JR札沼線,00A54F,,141.6575101,43.33044878,10,0
11113,1,JR留萌本線,808080,,141.763792,43.84733117,10,0
11114,1,JR富良野線,AA5EA6,,142.4293334,43.60983839,10,0
11115,1,JR宗谷本線,954A35,,142.225614,44.6587297,8,0
11116,1,JR石北本線,F7931D,,143.3629461,43.9613877,8,0
11117,1,JR釧網本線,EF59A1,,144.4337656,43.52373901,9,0
11118,1,JR海峡線,808080,,140.329047,41.36657457,9,0
11119,1,JR江差線,808080,,140.4168208,41.7753819,10,2
11201,2,JR東北本線(八戸～青森),3CB371,,141.1472278,40.69791852,10,2
11202,2,JR奥羽本線(新庄～青森),FF6600,,140.4427173,39.92227066,8,0
11231,2,JR東北本線(黒磯～利府・盛岡),3CB371,,140.8981249,38.46142404,8,0
11203,2,はまなすベイライン大湊線,F1AA28,,141.2341889,41.07704833,10,0
11204,2,JR五能線,0000FF,,140.1536,40.62248824,9,0
11205,2,JR津軽線,00B2E5,,140.6379643,40.99724898,10,0
11206,2,JR八戸線,FF0000,,141.7019344,40.40264308,10,0
11207,2,JR岩泉線,808080,,141.7110907,39.75256666,11,2
11208,2,ドラゴンレール大船渡線,FF6600,,141.4724298,38.96164069,10,0
11209,2,銀河ドリームライン釜石線,3399FF,,141.5279124,39.32636455,10,0
11210,2,JR北上線,9966FF,,140.8466239,39.30471879,10,0
11211,2,JR田沢湖線,CC00CC,,140.7685672,39.6934485,10,0
11212,2,十和田八幡平四季彩ライン,FF0000,,140.8453488,40.13373143,10,0
11213,2,JR山田線,A52A2A,,141.6667874,39.59692922,9,0
11214,2,JR羽越本線,16C0E9,,139.7617803,38.73294117,8,0
11215,2,JR男鹿線,008000,,139.958679,39.89239988,11,0
11216,2,山形線,FF6600,,140.2833537,38.30771536,9,0
11217,2,JR仙山線,77DD00,,140.5996186,38.31470035,10,0
11218,2,フルーツライン左沢線,87CEEB,,140.2808095,38.33565073,12,0
11219,2,JR米坂線,9E7EB9,,139.7703569,38.04498397,10,0
11220,2,奥の細道最上川ライン,32CD32,,140.0961846,38.75534124,10,0
11221,2,奥の細道湯けむりライン,888888,,140.6813043,38.73003972,10,0
11222,2,JR仙石線,00AAEE,,141.0726418,38.36634216,11,0
11223,2,JR石巻線,FF8888,,141.2522992,38.48686849,11,0
11224,2,JR気仙沼線,6600CC,,141.4644576,38.69617975,10,0
11225,2,JR磐越西線(郡山～会津若松),CB7B35,,140.1307905,37.51773393,10,0
11226,2,森と水とロマンの鉄道,CB7B35,,139.121445,37.800383,9,0
11227,2,JR只見線,008DD1,,139.4478074,37.39176462,9,0
11228,2,ゆうゆうあぶくまライン,C71585,,140.6426123,37.26977724,10,0
11229,2,JR常磐線(取手～いわき),007AC0,,140.5188744,36.51900406,9,0
11230,2,JR常磐線(いわき～仙台),007AC0,,140.9334199,37.66155605,9,0
11301,2,JR東海道本線(東京～熱海),F68B1E,,139.4302441,35.39507962,10,0
11302,2,JR山手線,80C241,,139.7352228,35.69302731,12,0
11303,2,JR南武線,FFD400,,139.5621831,35.62126802,11,0
11304,2,JR鶴見線,FFD400,,139.6973422,35.50322702,13,0
11305,2,JR武蔵野線,F15A22,,139.7051131,35.80257708,10,0
11306,2,JR横浜線,80C241,,139.4711185,35.56100411,11,0
11307,2,JR根岸線,00B2E5,,139.5986788,35.41484559,12,0
11308,2,JR横須賀線,007AC0,,139.6476186,35.48340539,10,0
11309,2,JR相模線,009793,,139.3678017,35.48317493,11,0
11311,2,JR中央本線(東京～塩尻),007AC0,,138.617358,35.77036734,9,0
11312,2,JR中央線(快速),F15A22,,139.5379885,35.70017042,10,0
11313,2,JR中央・総武線,FFD400,,139.8371552,35.70164136,10,0
11314,2,JR総武本線,007AC0,,140.2546612,35.68790263,9,0
11315,2,JR青梅線,F15A22,,139.2400414,35.78257265,11,0
11316,2,JR五日市線,F15A22,,139.2916574,35.72583044,12,0
11317,2,JR八高線(八王子～高麗川),A8A39D,,139.3329938,35.78050242,11,0
11318,2,JR八高線(高麗川～高崎),A8A39D,,139.1796533,36.12104162,10,0
11319,2,宇都宮線,F68B1E,,139.846403,36.37943924,9,0
11320,2,JR常磐線(上野～取手),00B261,,139.9238125,35.81971933,11,0
11321,2,JR埼京線,00B48D,,139.6182015,35.80319582,11,0
11322,2,JR川越線,00B48D,,139.4693426,35.90961046,11,0
11323,2,JR高崎線,F68B1E,,139.4521807,36.09573564,9,0
11324,2,JR外房線,DB4028,,140.2798303,35.34873907,10,0
11325,2,JR内房線,00B9F1,,139.9480808,35.29328827,9,0
11326,2,JR京葉線,C9242F,,139.93611,35.64364962,11,0
11327,2,JR成田線,00B261,,140.3723884,35.86276466,10,0
11328,2,JR成田エクスプレス,F61E21,,139.7571982,35.69212092,9,0
11329,2,JR鹿島線,C56E2E,,140.5646973,35.94268442,12,0
11330,2,JR久留里線,00B5AD,,140.0464997,35.3506777,11,0
11331,2,JR東金線,F15A22,,140.3680586,35.56232866,12,0
11332,2,JR京浜東北線,00B2E5,,139.6425121,35.63929556,10,0
11333,2,JR湘南新宿ライン,F68B1E,,139.6229437,35.65739974,10,0
11343,2,上野東京ライン,8D2E90,,139.7721004,35.69745581,14,0
11334,2,JR烏山線,008000,,140.0649785,36.65874003,12,0
11335,2,JR吾妻線,0F5474,,138.7913036,36.55204126,10,0
11337,2,JR信越本線,9ACD32,,138.8807751,36.33038234,11,0
11338,2,JR水郡線,008000,,140.4621536,36.92204743,9,0
11339,2,JR水戸線,3333FF,,140.0513207,36.33356509,10,0
11340,2,JR日光線,880022,,139.7529407,36.63614345,11,0
11341,2,JR両毛線,FFD400,,139.38788,36.35677395,10,0
11342,2,JR上越線,00B3E6,,138.8924192,36.9153866,9,0
11401,2,小海線,008000,,138.422021,36.326337,10,0
11402,3,JR身延線,1DA5BD,,138.532397,35.39216324,10,0
11403,2,JR信越本線(篠ノ井～長野),FFD400,,138.1598163,36.60859597,12,0
11404,2,JR信越本線(直江津～新潟),FFD400,,138.7595452,37.51108174,9,0
11405,4,JR北陸本線(富山～直江津),FFD400,,137.7185006,37.01500893,9,2
11406,2,JR白新線,F387B7,,139.1904713,37.92400721,11,0
11407,2,JR飯山線,7BC24B,,138.5417323,36.98446011,10,0
11408,2,JR越後線,40934D,,138.8340003,37.62674857,10,0
11409,2,北アルプス線,9370DB,,137.8735087,36.67612787,9,0
11410,2,JR弥彦線,922790,,138.9044353,37.67331836,12,0
11411,3,JR中央本線(名古屋～塩尻),170063,,137.468492,35.6624711,9,0
11412,2,JR篠ノ井線,F15A22,,138.0172774,36.38422475,10,0
11413,3,JR飯田線(豊橋～天竜峡),386692,,137.6689494,35.12564791,10,0
11414,3,JR飯田線(天竜峡～辰野),386692,,137.8986353,35.75990218,10,0
11415,4,JR北陸本線(米原～敦賀),D60000,,136.4425104,36.33393306,8,0
11416,3,JR高山本線,F479B8,,137.1437387,36.03506978,9,0
11417,4,JR城端線,846AA8,,136.9630801,36.64686113,11,0
11418,4,JR氷見線,A646A6,,137.016787,36.80602651,12,0
11419,4,JR七尾線,1DA5BD,,136.7916271,36.8807224,10,0
11420,4,敦賀港線,FFCC00,,136.0755333,35.65634921,14,2
11421,4,九頭竜線,3C9922,,136.4413114,35.99858409,10,0
11422,4,JR小浜線,0072BC,,135.7418184,35.53015548,10,0
11501,3,JR東海道本線(熱海～浜松),EE8125,,138.3888098,34.94909732,9,0
11502,3,JR東海道本線(浜松～岐阜),EE8125,,137.129185,35.04642183,9,0
